Company;Product;TypeName;Inches;ScreenResolution;Cpu;Ram;Memory;Gpu;OpSys;Weight;Price_euros
Toshiba;Portege Z30-C-1CV;Notebook;13.3;Full HD 1920x1080;Intel Core i5 6200U 2.3GHz;4GB;128GB SSD;Intel HD Graphics 520;Windows 7;1.2kg;1195.0
Lenovo;IdeaPad 320-15ABR;Notebook;15.6;Full HD 1920x1080;AMD A12-Series 9720P 3.6GHz;6GB;256GB SSD;AMD Radeon 530;Windows 10;2.2kg;549.0
Fujitsu;LifeBook A556;Notebook;15.6;1366x768;Intel Core i5 6200U 2.3GHz;4GB;256GB SSD;Intel HD Graphics 520;Windows 10;2.3kg;649.0
Toshiba;Tecra A40-C-1KF;Notebook;14.0;1366x768;Intel Core i5 6200U 2.3GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 10;1.75kg;915.0
Dell;Inspiron 3567;Notebook;15.6;1366x768;Intel Core i5 7200U 2.5GHz;4GB;500GB HDD;AMD Radeon R5 M430;Windows 10;2.25kg;599.0
HP;Probook 450;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;1TB HDD;Intel HD Graphics 620;Windows 10;2.04kg;806.0
Lenovo;Legion Y520-15IKBN;Gaming;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2.5kg;1189.0
Dell;Inspiron 5567;Notebook;15.6;1366x768;Intel Core i7 7500U 2.7GHz;8GB;1TB HDD;AMD Radeon R7 M445;Windows 10;2.36kg;749.0
Dell;Latitude 5480;Notebook;14.0;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;128GB SSD;Intel HD Graphics 620 ;Windows 10;1.6kg;1119.0
HP;EliteBook Folio;Netbook;12.5;Full HD 1920x1080;Intel Core M 6Y75 1.2GHz;8GB;512GB SSD;Intel HD Graphics 515;Windows 10;0.97kg;1908.0
HP;15-bs005nv (i3-6006U/4GB/1TB;Notebook;15.6;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4GB;128GB SSD +  1TB HDD;AMD Radeon 520;Windows 10;2.1kg;499.0
Lenovo;V110-15IAP (N3350/4GB/128GB/No;Notebook;15.6;1366x768;Intel Celeron Dual Core N3350 1.1GHz;4GB;128GB SSD;Intel HD Graphics 500;No OS;1.9kg;270.62
Lenovo;ThinkPad T560;Notebook;15.6;Full HD 1920x1080;Intel Core i5 6200U 2.3GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;2.3kg;1349.0
Dell;Inspiron 5378;2 in 1 Convertible;13.3;Full HD / Touchscreen 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.68kg;889.0
Asus;ZenBook UX310UA-FB485T;Notebook;13.3;Quad HD+ 3200x1800;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.4kg;1150.0
HP;Spectre 13-V111dx;Ultrabook;13.3;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.11kg;1349.0
Acer;Aspire ES1-533;Notebook;15.6;1366x768;Intel Pentium Quad Core N4200 1.1GHz;4GB;500GB HDD;Intel HD Graphics 505;Windows 10;2.4kg;380.0
Asus;Rog GL553VE-DS74;Gaming;15.6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.5kg;1799.0
HP;EliteBook 840;Ultrabook;14.0;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.48kg;2089.0
Acer;Nitro 5;Gaming;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.7kg;1260.0
HP;ENVY -;Notebook;13.3;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.34kg;1189.0
Dell;Vostro 3568;Notebook;15.6;1366x768;Intel Core i3 7100U 2.4GHz;4GB;128GB SSD;Intel HD Graphics 620;Windows 10;2.18kg;547.0
HP;Probook 440;Notebook;14.0;1366x768;Intel Core i5 7200U 2.5GHz;4GB;500GB HDD;Intel HD Graphics 620;Windows 10;1.64kg;779.0
Toshiba;Portege Z30-C-16H;Notebook;13.3;Full HD 1920x1080;Intel Core i5 6200U 2.3GHz;4GB;128GB SSD;Intel HD Graphics 520;Windows 10;1.2kg;1195.0
HP;EliteBook 840;Notebook;14.0;1366x768;Intel Core i5 6300U 2.4GHz;4GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.48kg;1099.99
HP;ProBook 640;Notebook;14.0;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;4GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.95kg;1205.0
HP;EliteBook 1040;Ultrabook;14.0;Full HD 1920x1080;Intel Core i7 6600U 2.6GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 7;1.43kg;1449.0
HP;ProBook 440;Notebook;14.0;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Nvidia GeForce 930MX;Windows 10;1.64kg;1049.26
HP;Probook 440;Notebook;14.0;1366x768;Intel Core i3 7100U 2.4GHz;4GB;500GB HDD;Intel HD Graphics 620;Windows 10;1.64kg;684.0
Dell;Inspiron 7567;Gaming;15.6;Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8GB;1.0TB Hybrid;Nvidia GeForce GTX 1050;Windows 10;2.65kg;949.0
HP;EliteBook 820;Ultrabook;12.5;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;4GB;500GB HDD;Intel HD Graphics 620;Windows 10;1.26kg;1539.0
HP;Elitebook 840;Notebook;14.0;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;4GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.48kg;1590.0
HP;EliteBook 840;Ultrabook;14.0;Full HD 1920x1080;Intel Core i7 6500U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.54kg;1887.21
HP;Probook 430;Notebook;13.3;1366x768;Intel Core i3 7100U 2.4GHz;4GB;500GB HDD;Intel HD Graphics 620;Windows 10;1.49kg;800.0
Toshiba;Portege A30-C-1CZ;Notebook;13.3;1366x768;Intel Core i5 6200U 2.3GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.5kg;1210.0
HP;ProBook 450;Notebook;15.6;1366x768;Intel Core i3 7100U 2.4GHz;4GB;256GB SSD;Intel HD Graphics 620;Windows 10;2.04kg;769.99
Lenovo;ThinkPad P70;Notebook;17.3;IPS Panel 4K Ultra HD 3840x2160;Intel Core i7 6820HQ 2.7GHz;16GB;512GB SSD;Nvidia Quadro 3000M;Windows 7;2.4kg;2968.0
Toshiba;Tecra Z40-C-12Z;Notebook;14.0;IPS Panel Full HD 1920x1080;Intel Core i5 6200U 2.3GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.47kg;1490.0
HP;EliteBook 1040;Notebook;14.0;Full HD 1920x1080;Intel Core i7 6500U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.43kg;2229.0
Dell;Inspiron 5568;2 in 1 Convertible;15.6;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i3 6100U 2.3GHz;4GB;1TB HDD;Intel HD Graphics 520;Windows 10;2.08kg;795.99
Toshiba;Portégé Z30-C-16K;Ultrabook;13.3;Full HD 1920x1080;Intel Core i5 6200U 2.3GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.2kg;1590.0
HP;Spectre 13-V100nv;Notebook;13.3;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.11kg;1149.0
HP;ProBook 440;Notebook;14.0;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Nvidia GeForce 930MX;Windows 10;1.64kg;1185.43
Dell;Latitude E5570;Notebook;15.6;Full HD 1920x1080;Intel Core i5 6300U 2.4GHz;8GB;500GB HDD;Intel HD Graphics 520;Windows 10;2.09kg;1046.44
HP;Elitebook 820;Ultrabook;12.5;1366x768;Intel Core i5 7200U 2.5GHz;4GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.26kg;1559.0
HP;ProBook 650;Notebook;14.0;1366x768;Intel Core i5 7200U 2.5GHz;4GB;500GB HDD;Intel HD Graphics 620;Windows 10;2.31kg;1189.0
HP;ProBook 640;Notebook;14.0;1366x768;Intel Core i5 7200U 2.5GHz;4GB;500GB HDD;Intel HD Graphics 620;Windows 10;1.95kg;1060.0
Dell;XPS 13;Ultrabook;13.3;Quad HD+ / Touchscreen 3200x1800;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.29kg;1624.0
HP;Probook 470;Notebook;17.3;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Nvidia GeForce 930MX;Windows 10;2.63kg;1080.0
HP;ProBook 440;Notebook;14.0;1366x768;Intel Core i5 7200U 2.5GHz;4GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.64kg;973.0
Acer;Aspire 3;Notebook;15.6;1366x768;AMD A9-Series 9420 3GHz;6GB;1TB HDD;AMD Radeon R5;Windows 10;2.1kg;409.0
MSI;GL72M 7RDX;Gaming;17.3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.7kg;1191.8
HP;Probook 640;Notebook;14.0;Full HD 1920x1080;Intel Core i5 6200U 2.3GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 7;1.95kg;1195.0
HP;EliteBook 850;Notebook;15.6;Full HD 1920x1080;Intel Core i7 6500U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.84kg;1228.99
HP;EliteBook 820;Ultrabook;12.5;Full HD 1920x1080;Intel Core i7 6500U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.26kg;1349.0
HP;ProBook 450;Notebook;15.6;1366x768;Intel Core i5 7200U 2.5GHz;4GB;500GB HDD;Intel HD Graphics 620;Windows 10;2.04kg;742.0
Toshiba;Tecra Z40-C-136;Ultrabook;14.0;IPS Panel Full HD 1920x1080;Intel Core i7 6600U 2.6GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.47kg;1725.0
Dell;Latitude E5570;Notebook;15.6;Full HD 1920x1080;Intel Core i5 6300U 2.4GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 7;2.09kg;1062.95
HP;ProBook 440;Notebook;14.0;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.64kg;1010.51
Lenovo;Yoga 500-15ISK;2 in 1 Convertible;15.6;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i7 6500U 2.5GHz;4GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.8kg;847.0
Vero;V142 (X5-Z8350/2GB/32GB/W10);Notebook;14.0;1366x768;Intel Atom X5-Z8350 1.44GHz;2GB;32GB Flash Storage;Intel HD Graphics 400;Windows 10;1.45kg;210.8
Toshiba;Tecra A50-C-218;Notebook;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 6500U 2.5GHz;16GB;256GB SSD;Nvidia GeForce 930M;Windows 10;2.4kg;1425.0
Lenovo;Thinkpad L560;Notebook;15.6;Full HD 1920x1080;Intel Core i5 6200U 2.3GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;2.3kg;1049.6
HP;EliteBook 840;Notebook;14.0;Full HD 1920x1080;Intel Core i5 6200U 2.3GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 10;1.54kg;1000.0
HP;EliteBook 850;Notebook;15.6;Full HD 1920x1080;Intel Core i5 6300U 2.4GHz;8GB;256GB SSD +  500GB HDD;Intel HD Graphics 520;Windows 10;1.84kg;2103.34
HP;EliteBook 1040;Notebook;14.0;Full HD 1920x1080;Intel Core i5 6200U 2.3GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 7;1.43kg;1469.0
MSI;GT72S Dominator;Gaming;17.3;IPS Panel Full HD 1920x1080;Intel Core i7 6820HK 2.7GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 980M;Windows 10;3.78kg;1545.64
Lenovo;IdeaPad Y900-17ISK;Gaming;17.3;IPS Panel Full HD 1920x1080;Intel Core i7 6700HQ 2.6GHz;16GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 980M;Windows 10;4.6kg;2289.99
Asus;Chromebook C202SA;Netbook;11.6;1366x768;Intel Celeron Dual Core N3060 1.6GHz;4GB;16GB Flash Storage;Intel HD Graphics 400;Chrome OS;1.2kg;287.9
Lenovo;ThinkPad X1;Notebook;14.0;IPS Panel 2560x1440;Intel Core i7 6600U 2.6GHz;16GB;256GB SSD;Intel HD Graphics 520;Windows 7;1.1kg;2620.0
HP;Noteb Pav;Notebook;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;1TB HDD;Nvidia GeForce 940MX;Windows 10;1.91kg;979.0
Dell;Inspiron 5578;2 in 1 Convertible;15.6;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i5 7200U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;2.3kg;1094.0
HP;ProBook 450;Notebook;15.6;1366x768;Intel Core i5 7200U 2.5GHz;4GB;256GB SSD;Intel HD Graphics 620;Windows 10;2.04kg;979.0
Dell;XPS 13;Ultrabook;13.3;Quad HD+ / Touchscreen 3200x1800;Intel Core i7 7500U 2.7GHz;16GB;1TB SSD;Intel HD Graphics 620;Windows 10;1.2kg;2254.0
HP;ProBook 650;Notebook;15.6;1366x768;Intel Core i3 6100U 2.3GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 10;2.31kg;705.15
HP;250 G5;Notebook;15.6;1366x768;Intel Core i5 7200U 2.5GHz;4GB;500GB HDD;Intel HD Graphics 620;No OS;1.96kg;499.0
Acer;Aspire ES1-523;Notebook;15.6;1366x768;AMD A8-Series 7410 2.2GHz;8GB;1TB HDD;AMD Radeon R5;Windows 10;2.4kg;449.0
Dell;Inspiron 7378;2 in 1 Convertible;13.3;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i7 7500U 2.7GHz;12GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.6kg;1299.0
MSI;GT62VR 6RD;Gaming;15.6;Full HD 1920x1080;Intel Core i7 6700HQ 2.6GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2.94kg;1819.0
HP;ProBook 450;Notebook;15.6;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;2.04kg;1070.0
Asus;Rog G752VL-GC088D;Gaming;17.3;IPS Panel Full HD 1920x1080;Intel Core i7 6700HQ 2.6GHz;16GB;1TB HDD;Nvidia GeForce GTX 965M;No OS;4kg;998.0
Dell;Inspiron 3567;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;4GB;1TB HDD;Intel HD Graphics;Windows 10;2.25kg;559.0
Dell;Inspiron 5567;Notebook;15.6;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;16GB;2TB HDD;AMD Radeon R7 M445;Windows 10;2.32kg;989.99
MSI;GS63VR 6RF;Gaming;15.6;Full HD 1920x1080;Intel Core i7 6700HQ 2.6GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;1.8kg;1929.0
Dell;XPS 13;Ultrabook;13.3;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.29kg;1458.0
Asus;ROG G701VO;Gaming;17.3;IPS Panel Full HD 1920x1080;Intel Core i7 6820HK 2.7GHz;64GB;1TB SSD;Nvidia GeForce GTX 980 ;Windows 10;3.58kg;3975.0
Dell;Inspiron 5368;2 in 1 Convertible;13.3;Full HD / Touchscreen 1920x1080;Intel Core i7 6500U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.62kg;798.01
Dell;Alienware 15;Gaming;15.6;4K Ultra HD 3840x2160;Intel Core i7 6700HQ 2.6GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 970M;Windows 10;3.21kg;1329.0
Apple;"MacBook 12""";Ultrabook;12.0;IPS Panel Retina Display 2304x1440;Intel Core M 1.1GHz;8GB;256GB Flash Storage;Intel HD Graphics 515;Mac OS X;0.920kg;1300.0
Dell;Latitude 3570;Notebook;15.6;1366x768;Intel Core i3 6100U 2.3GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 10;2.06kg;481.98
HP;ProBook 650;Notebook;15.6;1366x768;Intel Core i5 6200U 2.3GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 10;2.31kg;1199.0
HP;EliteBook 820;Ultrabook;12.5;Full HD 1920x1080;Intel Core i5 6200U 2.3GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 7;1.26kg;1199.0
HP;ProBook 430;Notebook;13.3;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.49kg;1090.0
Lenovo;ThinkPad Yoga;Ultrabook;12.5;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i7 6500U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.3kg;1713.49
Lenovo;IdeaPad 300-17ISK;Notebook;17.3;1600x900;Intel Core i5 6200U 2.3GHz;8GB;1.0TB HDD;AMD Radeon R5 M330;Windows 10;3.0kg;659.0
Lenovo;Ideapad 700-15ISK;Notebook;15.6;IPS Panel Full HD 1920x1080;Intel Core i5 6300HQ 2.3GHz;4GB;1TB HDD;Nvidia GeForce GTX 950M;Windows 10;2.3kg;977.0
MSI;GT72VR Dominator;Gaming;17.3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;3.78kg;2499.0
Lenovo;V110-15ISK (i5-6200U/4GB/500GB/W10);Notebook;15.6;1366x768;Intel Core i5 6200U 2.3GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 10;2.1kg;540.0
HP;Probook 650;Notebook;15.6;Full HD 1920x1080;Intel Core i5 6200U 2.3GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 7;2.31kg;940.0
Lenovo;Yoga 900S-12ISK;Ultrabook;12.5;IPS Panel Touchscreen 2560x1440;Intel Core M 6Y75 1.2GHz;8GB;512GB SSD;Intel HD Graphics 515;Windows 10;0.99kg;1399.0
Lenovo;IdeaPad Y900-17ISK;Gaming;17.3;IPS Panel Full HD 1920x1080;Intel Core i7 6820HK 2.7GHz;32GB;512GB SSD +  1.0TB Hybrid;Nvidia GeForce GTX 980M;Windows 10;4.6kg;3240.0
Lenovo;Yoga Book;2 in 1 Convertible;10.1;IPS Panel Touchscreen 1920x1200;Intel Atom x5-Z8550 1.44GHz;4GB;64GB Flash Storage;Intel HD Graphics 400;Windows 10;0.69kg;646.27
HP;Spectre x360;Ultrabook;13.3;IPS Panel 4K Ultra HD 3840x2160;Intel Core i7 7500U 2.7GHz;16GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.3kg;2049.0
Dell;Vostro 3568;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;2.18kg;750.0
HP;EliteBook 840;Notebook;14.0;Full HD 1920x1080;Intel Core i5 6200U 2.3GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 7;1.54kg;1030.99
HP;ZBook 15u;Workstation;15.6;Full HD 1920x1080;Intel Core i7 6500U 2.5GHz;8GB;256GB SSD;AMD FirePro W4190M;Windows 7;1.9kg;1495.0
Lenovo;ThinkPad T460;Notebook;14.0;Full HD 1920x1080;Intel Core i5 6200U 2.3GHz;8GB;180GB SSD;Intel HD Graphics 520;Windows 7;1.7kg;1199.0
HP;Chromebook 13;Notebook;13.3;Quad HD+ 3200x1800;Intel Pentium Dual Core 4405Y 1.5GHz;4GB;32GB Flash Storage;Intel HD Graphics 515;Chrome OS;1.29kg;615.0
Acer;Aspire ES1-523;Notebook;15.6;1366x768;AMD A8-Series 7410 2.2GHz;4GB;500GB HDD;AMD Radeon R5;Windows 10;2.4kg;387.0
Dell;Inspiron 3552;Notebook;15.6;1366x768;Intel Pentium Quad Core N3700 1.6GHz;4GB;500GB HDD;Intel HD Graphics;Linux;2.2kg;393.49
HP;250 G6;Notebook;15.6;1366x768;Intel Core i3 6006U 2GHz;4GB;1TB HDD;Intel HD Graphics 520;No OS;1.86kg;345.99
Asus;Rog GL702VM-GC354T;Gaming;17.3;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2.7kg;1599.0
Dell;Inspiron 5370;Ultrabook;13.3;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;4GB;256GB SSD;AMD Radeon 530;Windows 10;1.4kg;818.35
HP;Elitebook 820;Netbook;12.5;1366x768;Intel Core i5 6200U 2.3GHz;4GB;128GB SSD;Intel HD Graphics 520;Windows 7;2.4kg;1599.0
Acer;Aspire F5-573G;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 950M;Windows 10;2.4kg;799.0
Dell;Inspiron 5567;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;1TB HDD;AMD Radeon R7 M445;Windows 10;2.36kg;638.8
MSI;GS70 Stealth;Gaming;17.3;Full HD 1920x1080;Intel Core i7 6700HQ 2.6GHz;8GB;256GB SSD;Nvidia GeForce GTX 965M;Windows 10;2.6kg;1599.0
HP;250 G5;Notebook;15.6;1366x768;Intel Pentium Quad Core N3710 1.6GHz;4GB;1TB HDD;Intel HD Graphics 405;Windows 10;1.96kg;500.0
Asus;G752VY-GC162T (i7-6700HQ/16GB/1TB;Gaming;17.3;IPS Panel Full HD 1920x1080;Intel Core i7 6700HQ 2.6GHz;16GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 980M;Windows 10;4.3kg;2299.0
Dell;Latitude E5270;Ultrabook;12.5;1366x768;Intel Core i3 6100U 2.3GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 7;1.5kg;1135.15
Dell;Latitude E5270;Ultrabook;12.5;1366x768;Intel Core i3 6100U 2.3GHz;4GB;128GB SSD;Intel HD Graphics 520;Windows 7;1.5kg;1166.97
Acer;Chromebook 15;Notebook;15.6;1366x768;Intel Celeron Dual Core 3205U 1.5GHz;4GB;16GB SSD;Intel HD Graphics;Chrome OS;2.20kg;209.0
HP;ZBook 17;Workstation;17.3;IPS Panel Full HD 1920x1080;Intel Core i7 6700HQ 2.6GHz;8GB;1TB HDD;AMD FirePro W6150M;Windows 7;3.0kg;2899.0
Lenovo;Legion Y520-15IKBN;Gaming;15.6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16GB;512GB SSD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.4kg;1199.0
Dell;Latitude E5270;Ultrabook;12.5;1366x768;Intel Core i5 6200U 2.3GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 7;1.5kg;1413.1
MSI;GE72 Apache;Gaming;17.3;Full HD 1920x1080;Intel Core i7 6700HQ 2.6GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 960M;Windows 10;2.9kg;1511.19
Lenovo;Yoga 500-15ISK;2 in 1 Convertible;15.6;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i5 6200U 2.3GHz;4GB;256GB SSD;Intel HD Graphics 520;Windows 10;2.1kg;867.0
HP;15-bw011nv (A6-9220/4GB/1TB/FHD/W10);Notebook;15.6;Full HD 1920x1080;AMD A6-Series 9220 2.5GHz;4GB;1TB HDD;AMD Radeon R4;Windows 10;2.1kg;398.0
Asus;Rog GL552VW-CN470T;Gaming;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 6700HQ 2.6GHz;16GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 960M;Windows 10;2.59kg;1339.0
HP;EliteBook 1030;Notebook;13.3;Quad HD+ / Touchscreen 3200x1800;Intel Core M 6Y54 1.1GHz;8GB;256GB SSD;Intel HD Graphics 515;Windows 10;1.16kg;1699.0
Dell;Vostro 3559;Notebook;15.6;1366x768;Intel Core i5 6200U 2.3GHz;4GB;500GB HDD;AMD Radeon R5 M315;Windows 7;2.24kg;769.15
Lenovo;V110-15ISK (i3-6006U/4GB/128GB/W10);Notebook;15.6;1366x768;Intel Core i3 6006U 2.0GHz;4GB;128GB SSD;Intel HD Graphics 520;Windows 10;2.1kg;429.0
HP;Spectre Pro;Ultrabook;13.3;Full HD 1920x1080;Intel Core i7 6500U 2.5GHz;8GB;512GB SSD;Intel HD Graphics 520;Windows 10;1.16kg;1969.0
Lenovo;Yoga Book;2 in 1 Convertible;10.1;IPS Panel Touchscreen 1920x1200;Intel Atom x5-Z8550 1.44GHz;4GB;64GB Flash Storage;Intel HD Graphics 400;Android;0.69kg;549.0
Dell;XPS 13;Ultrabook;13.3;Full HD 1920x1080;Intel Core i7 7560U 2.4GHz;8GB;256GB SSD;Intel Iris Plus Graphics 640;Windows 10;1.23kg;1379.0
Lenovo;IdeaPad Y900-17ISK;Gaming;17.3;IPS Panel Full HD 1920x1080;Intel Core i7 6820HK 2.7GHz;16GB;256GB SSD +  1.0TB Hybrid;Nvidia GeForce GTX 980M;Windows 10;4.6kg;2749.99
Razer;Blade Stealth;Ultrabook;12.5;Touchscreen / 4K Ultra HD 3840x2160;Intel Core i7 6500U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.25kg;1029.0
Toshiba;Portege X30-D-10K;Ultrabook;13.3;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;16GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.05kg;2226.0
Asus;Rog GL752VW-T4308T;Gaming;17.3;Full HD 1920x1080;Intel Core i7 6700HQ 2.6GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 960M;Windows 10;3.52kg;1312.49
Vero;V131 (X5-Z8350/4GB/32GB/FHD/W10);Notebook;13.3;Full HD 1920x1080;Intel Atom X5-Z8350 1.44GHz;4GB;32GB Flash Storage;Intel HD Graphics 400;Windows 10;1.35kg;196.0
HP;Spectre Pro;Notebook;13.3;Full HD 1920x1080;Intel Core i5 6200U 2.3GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.16kg;1690.0
HP;EliteBook 1040;Notebook;14.0;Full HD 1920x1080;Intel Core i5 6200U 2.3GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 7;1.43kg;1513.0
Dell;Latitude E5570;Notebook;15.6;1366x768;Intel Core i5 6200U 2.3GHz;4GB;500GB HDD;Intel HD Graphics 520;Linux;2.09kg;523.63
Asus;VivoBook Max;Notebook;15.6;1366x768;Intel Core i3 7100U 2.4GHz;4GB;1TB HDD;Intel HD Graphics 620;Windows 10;2kg;435.0
